GOLEN,ROADSECT_ID,PERIOD,GOCOUNT,TIME,GOTIME
2929.7887,665401,112,16,2018-04-06 00:00:00,343.0727
883.3896,666301,112,9,2018-04-06 00:00:00,111.206
3524.314,666302,112,21,2018-04-06 00:00:00,351.1985
6961.4644,666303,112,46,2018-04-06 00:00:00,834.2575
3446.1179,666304,112,31,2018-04-06 00:00:00,372.5735
4340.7016,666401,112,32,2018-04-06 00:00:00,605.3343
7023.6384,666402,112,42,2018-04-06 00:00:00,878.7952
5156.3157,666403,112,33,2018-04-06 00:00:00,559.4695
2268.943,666404,112,13,2018-04-06 00:00:00,211.89
10641.6156,667101,112,58,2018-04-06 00:00:00,970.2418
11277.4544,667102,112,80,2018-04-06 00:00:00,1164.1249
837.2222,667103,112,8,2018-04-06 00:00:00,230.147
3386.7897,667104,112,28,2018-04-06 00:00:00,489.1956
612.7238,667201,112,11,2018-04-06 00:00:00,105.7839
3294.3441,667202,112,21,2018-04-06 00:00:00,371.4434
17176.5586,667203,112,117,2018-04-06 00:00:00,1723.5376
17.9821,620401,112,2,2018-04-06 00:00:00,1.6152
1133.1574,620402,112,9,2018-04-06 00:00:00,122.3326
1190.8288,620403,112,8,2018-04-06 00:00:00,135.481
1228.6946,620404,112,10,2018-04-06 00:00:00,102.2304
325.4744,622401,112,6,2018-04-06 00:00:00,27.5101
1569.1619,624101,112,10,2018-04-06 00:00:00,167.9274
636.0515,624201,112,6,2018-04-06 00:00:00,75.4171
1070.1066,626101,112,7,2018-04-06 00:00:00,256.8906
2520.0528,626102,112,12,2018-04-06 00:00:00,204.695
1391.7307,626201,112,7,2018-04-06 00:00:00,150.0092
480.8876,626202,112,3,2018-04-06 00:00:00,72.5413
3522.5784,627301,112,28,2018-04-06 00:00:00,614.8841
4000.8118,627401,112,27,2018-04-06 00:00:00,601.2118
650.5702,628101,112,3,2018-04-06 00:00:00,52.8486
7763.0288,629101,112,36,2018-04-06 00:00:00,674.2806
6480.6022,629201,112,32,2018-04-06 00:00:00,569.0656
1493.9529,631301,112,13,2018-04-06 00:00:00,138.504
1226.7694,631401,112,10,2018-04-06 00:00:00,123.046
442.6569,632301,112,3,2018-04-06 00:00:00,61.5907
262.7201,633401,112,3,2018-04-06 00:00:00,21.469
530.5636,634301,112,5,2018-04-06 00:00:00,40.0028
175.7618,637301,112,2,2018-04-06 00:00:00,22.1087
1064.8933,638301,112,9,2018-04-06 00:00:00,144.0128
36.1629,638401,112,2,2018-04-06 00:00:00,10.911
461.3183,640101,112,2,2018-04-06 00:00:00,253.3113
669.4257,640102,112,5,2018-04-06 00:00:00,89.2893
484.0203,640103,112,4,2018-04-06 00:00:00,49.3843
21.4505,640201,112,2,2018-04-06 00:00:00,21.7613
805.9789,641101,112,5,2018-04-06 00:00:00,55.4472
776.9847,641102,112,3,2018-04-06 00:00:00,71.4451
557.4941,641103,112,2,2018-04-06 00:00:00,61.1844
79.9454,641201,112,2,2018-04-06 00:00:00,124.6553
793.2453,641203,112,5,2018-04-06 00:00:00,58.5458
2037.6058,641204,112,13,2018-04-06 00:00:00,152.9492
670.4663,642401,112,6,2018-04-06 00:00:00,110.0004
230.6736,646301,112,2,2018-04-06 00:00:00,83.0
621.1886,646401,112,3,2018-04-06 00:00:00,80.1887
73.098,648301,112,2,2018-04-06 00:00:00,33.8001
1288.4893,648401,112,10,2018-04-06 00:00:00,164.8258
1855.9789,649101,112,17,2018-04-06 00:00:00,241.134
2256.3154,679309,112,27,2018-04-06 00:00:00,262.4672
1929.527,679401,112,24,2018-04-06 00:00:00,230.9927
1927.4043,679402,112,24,2018-04-06 00:00:00,267.9172
2000.3091,679403,112,22,2018-04-06 00:00:00,290.0006
5634.5973,679404,112,63,2018-04-06 00:00:00,456.0641
4357.8444,679405,112,62,2018-04-06 00:00:00,354.1854
2511.9383,679406,112,22,2018-04-06 00:00:00,215.6137
3810.0396,679407,112,33,2018-04-06 00:00:00,312.2491
1730.2217,679408,112,14,2018-04-06 00:00:00,134.6168
18397.6451,667204,112,130,2018-04-06 00:00:00,1701.5374
277.9981,668101,112,4,2018-04-06 00:00:00,24.6549
510.6412,668102,112,4,2018-04-06 00:00:00,45.8387
4512.0225,668202,112,32,2018-04-06 00:00:00,431.1259
5677.847,669301,112,41,2018-04-06 00:00:00,672.426
5859.5875,669302,112,44,2018-04-06 00:00:00,609.8998
2153.0213,669303,112,20,2018-04-06 00:00:00,197.5522
3398.7422,669304,112,20,2018-04-06 00:00:00,329.6741
17.0599,669401,112,1,2018-04-06 00:00:00,1.715
1615.2472,669402,112,16,2018-04-06 00:00:00,207.7228
4678.844,669403,112,33,2018-04-06 00:00:00,409.0468
4010.7201,669404,112,36,2018-04-06 00:00:00,640.8622
3458.1308,670101,112,32,2018-04-06 00:00:00,423.8835
1638.7326,670102,112,27,2018-04-06 00:00:00,195.5921
1701.9708,670201,112,28,2018-04-06 00:00:00,300.0782
5823.7036,670202,112,44,2018-04-06 00:00:00,858.2402
1368.6685,671101,112,13,2018-04-06 00:00:00,119.9201
3591.703,671102,112,52,2018-04-06 00:00:00,483.3485
4340.9186,671103,112,40,2018-04-06 00:00:00,509.2603
1584.0351,671104,112,25,2018-04-06 00:00:00,396.2416
5184.2537,671105,112,36,2018-04-06 00:00:00,839.6362
4717.9443,671201,112,57,2018-04-06 00:00:00,577.4124
1557.5874,671202,112,4,2018-04-06 00:00:00,337.3156
3778.616,671203,112,40,2018-04-06 00:00:00,519.5466
3389.5064,671204,112,51,2018-04-06 00:00:00,532.7174
1688.7663,671205,112,15,2018-04-06 00:00:00,161.2182
1344.566,672101,112,21,2018-04-06 00:00:00,175.3198
4518.4745,672102,112,39,2018-04-06 00:00:00,481.071
3440.2086,672103,112,41,2018-04-06 00:00:00,537.3806
3741.9951,672104,112,54,2018-04-06 00:00:00,517.9177
1525.7384,672105,112,16,2018-04-06 00:00:00,171.2926
3036.1376,672106,112,43,2018-04-06 00:00:00,426.0394
3779.4167,672201,112,48,2018-04-06 00:00:00,523.6438
1124.8819,672202,112,10,2018-04-06 00:00:00,181.321
2822.9941,672203,112,39,2018-04-06 00:00:00,453.7477
3811.0204,672204,112,38,2018-04-06 00:00:00,612.8794
1320.4958,672205,112,17,2018-04-06 00:00:00,127.4935
2416.8274,672206,112,39,2018-04-06 00:00:00,511.3186
17188.1345,674301,112,165,2018-04-06 00:00:00,1737.623
5566.0516,674302,112,58,2018-04-06 00:00:00,691.0704
3182.7972,674303,112,44,2018-04-06 00:00:00,327.8023
3230.5199,674304,112,40,2018-04-06 00:00:00,372.0179
9501.541,674305,112,103,2018-04-06 00:00:00,1297.775
8034.8138,674401,112,100,2018-04-06 00:00:00,1258.9752
4595.157,674402,112,61,2018-04-06 00:00:00,497.6818
2065.1337,674403,112,38,2018-04-06 00:00:00,227.4649
3690.8051,660403,112,38,2018-04-06 00:00:00,701.5808
1386.007,660404,112,14,2018-04-06 00:00:00,176.3109
4057.1401,661301,112,28,2018-04-06 00:00:00,387.6362
4117.4126,661401,112,43,2018-04-06 00:00:00,472.8151
3236.534,662301,112,27,2018-04-06 00:00:00,255.8685
2431.3084,662302,112,34,2018-04-06 00:00:00,236.3751
6205.809,662303,112,36,2018-04-06 00:00:00,660.0131
2059.5577,662304,112,21,2018-04-06 00:00:00,348.8365
1308.2722,662401,112,19,2018-04-06 00:00:00,290.8799
2247.5853,694201,112,27,2018-04-06 00:00:00,337.6446
554.8786,694203,112,13,2018-04-06 00:00:00,89.8105
981.2191,694204,112,10,2018-04-06 00:00:00,103.4735
635.0935,694205,112,6,2018-04-06 00:00:00,149.1146
1266.0689,695101,112,14,2018-04-06 00:00:00,217.9085
3680.44,695201,112,31,2018-04-06 00:00:00,388.6582
424.5658,696301,112,2,2018-04-06 00:00:00,101.045
1819.5714,696302,112,25,2018-04-06 00:00:00,294.2501
991.8577,696401,112,11,2018-04-06 00:00:00,138.5351
4854.7183,674404,112,48,2018-04-06 00:00:00,790.1456
12098.8737,674405,112,117,2018-04-06 00:00:00,1247.6521
1419.4064,675301,112,15,2018-04-06 00:00:00,157.5077
2007.3658,675302,112,14,2018-04-06 00:00:00,310.731
2014.0076,675303,112,28,2018-04-06 00:00:00,283.133
2194.2651,675304,112,32,2018-04-06 00:00:00,293.6085
2148.8911,675305,112,23,2018-04-06 00:00:00,341.2901
1650.4676,675401,112,29,2018-04-06 00:00:00,189.3126
2195.7333,675402,112,13,2018-04-06 00:00:00,289.0513
2019.6216,675403,112,14,2018-04-06 00:00:00,260.8909
2888.8276,675404,112,16,2018-04-06 00:00:00,556.3476
